f(Cortisol),g(Epinephrine),h(CRH),Arousal
1.01224,1.00787,4.19525,2.63339
1.02452,1.01557,4.20232,2.67292
1.02452,1.01557,4.20232,2.67292
1.03685,1.02312,4.20708,2.71146
1.03685,1.02312,4.20708,2.71146
1.04921,1.03052,4.21031,2.74935
1.04921,1.03052,4.21031,2.74935
1.06159,1.03776,4.21236,2.78674
1.06159,1.03776,4.21236,2.78674
1.07400,1.04486,4.21332,2.82364
1.07400,1.04486,4.21332,2.82364
1.08643,1.05181,4.21321,2.86004
1.08643,1.05181,4.21321,2.86004
1.09888,1.05862,4.21453,2.89727
1.09888,1.05862,4.21453,2.89727
1.11134,1.06528,4.21473,2.93395
1.11134,1.06528,4.21473,2.93395
1.12383,1.07182,4.21400,2.97017
1.12383,1.07182,4.21400,2.97017
1.13632,1.07822,4.21255,3.00601
1.13632,1.07822,4.21255,3.00601
1.14883,1.08449,4.21049,3.04151
1.14883,1.08449,4.21049,3.04151
1.16134,1.09063,4.20805,3.07680
1.16134,1.09063,4.20805,3.07680
1.17387,1.09664,4.20528,3.11187
1.17387,1.09664,4.20528,3.11187
1.18639,1.10253,4.20285,3.14713
1.18639,1.10253,4.20285,3.14713
1.19893,1.10830,4.20021,3.18226
1.19893,1.10830,4.20021,3.18226
1.21147,1.11395,4.19722,3.21715
1.21147,1.11395,4.19722,3.21715
1.22401,1.11949,4.19390,3.25181
1.22401,1.11949,4.19390,3.25181
1.23655,1.12491,4.19030,3.28627
1.23655,1.12491,4.19030,3.28627
1.24910,1.13022,4.18650,3.32055
1.24910,1.13022,4.18650,3.32055
1.26164,1.13542,4.18255,3.35469
1.26164,1.13542,4.18255,3.35469
1.27419,1.14052,4.17849,3.38871
1.27419,1.14052,4.17849,3.38871
1.28673,1.14551,4.17436,3.42262
1.28673,1.14551,4.17436,3.42262
1.29927,1.15040,4.17111,3.45704
1.29927,1.15040,4.17111,3.45704
1.31181,1.15519,4.16912,3.49225
1.31181,1.15519,4.16912,3.49225
1.32436,1.15988,4.16646,3.52699
1.32436,1.15988,4.16646,3.52699
1.33691,1.16447,4.16339,3.56143
1.33691,1.16447,4.16339,3.56143
1.34945,1.16897,4.16010,3.59567
1.34945,1.16897,4.16010,3.59567
1.36200,1.17338,4.15670,3.62979
1.36200,1.17338,4.15670,3.62979
1.37455,1.17770,4.15325,3.66382
1.37455,1.17770,4.15325,3.66382
1.38709,1.18193,4.14979,3.69780
1.38709,1.18193,4.14979,3.69780
1.39963,1.18607,4.14637,3.73173
1.39963,1.18607,4.14637,3.73173
1.41217,1.19013,4.14299,3.76564
1.41217,1.19013,4.14299,3.76564
1.42471,1.19410,4.13967,3.79954
1.42471,1.19410,4.13967,3.79954
1.43725,1.19799,4.13728,3.83405
1.43725,1.19799,4.13728,3.83405
1.44978,1.20180,4.13507,3.86865
1.44978,1.20180,4.13507,3.86865
1.46232,1.20554,4.13282,3.90318
1.46232,1.20554,4.13282,3.90318
1.47485,1.20919,4.13049,3.93762
1.47485,1.20919,4.13049,3.93762
1.48739,1.21278,4.12811,3.97199
1.48739,1.21278,4.12811,3.97199
1.49992,1.21628,4.12571,4.00629
1.49992,1.21628,4.12571,4.00629
1.51246,1.21972,4.12332,4.04056
1.51246,1.21972,4.12332,4.04056
1.52499,1.22309,4.12095,4.07480
1.52499,1.22309,4.12095,4.07480
1.53752,1.22639,4.11864,4.10905
1.53752,1.22639,4.11864,4.10905
1.55005,1.22962,4.11638,4.14329
1.55005,1.22962,4.11638,4.14329
1.56258,1.23278,4.11528,4.17839
1.56258,1.23278,4.11528,4.17839
1.57511,1.23588,4.11371,4.21310
1.57511,1.23588,4.11371,4.21310
1.58764,1.23891,4.11196,4.24763
